PID,USER,PR,NI,VIRT,RES,SHR,S,%CPU,%MEM,TIME+,COMMAND
8182,aleja,20,0,357588,44880,16692,S,"1,0","0,6",0:02.27,roslaunch
5777,aleja,20,0,348884,19324,10216,S,"0,0","0,3",0:02.17,rosout
8280,aleja,20,0,511136,46132,17448,S,"0,0","0,6",0:04.18,rostopic
5757,aleja,20,0,357720,44900,16824,S,"0,0","0,6",0:03.33,roscore
581,root,20,0,2548,708,636,S,"0,0","0,0",0:00.32,acpid
7927,aleja,20,0,357992,45016,16424,S,"0,0","0,6",0:02.55,roslaunch
7963,aleja,20,0,369172,24976,14984,S,"11,0","0,3",1:30.42,robot_state_pub
8209,aleja,20,0,871268,42520,16760,S,"11,0","0,6",2:19.60,nodo_pid.py
5766,aleja,20,0,1280912,44432,16516,S,"7,0","0,6",1:50.11,rosmaster
7967,aleja,20,0,422780,19248,10136,S,"5,0","0,3",1:11.29,twist_mux
7956,aleja,20,0,498908,22148,12672,S,"5,0","0,3",1:51.42,ekf_localizatio
8280,aleja,20,0,511136,46132,17448,S,"1,0","0,6",0:04.19,rostopic
5777,aleja,20,0,348884,19324,10216,S,"0,0","0,3",0:02.17,rosout
8182,aleja,20,0,357588,44880,16692,S,"0,0","0,6",0:02.27,roslaunch
5757,aleja,20,0,357720,44900,16824,S,"0,0","0,6",0:03.33,roscore
581,root,20,0,2548,708,636,S,"0,0","0,0",0:00.32,acpid
7927,aleja,20,0,357992,45016,16424,S,"0,0","0,6",0:02.55,roslaunch
8209,aleja,20,0,871268,42520,16760,S,"11,0","0,6",2:19.71,nodo_pid.py
7963,aleja,20,0,369172,24976,14984,S,"9,0","0,3",1:30.51,robot_state_pub
7956,aleja,20,0,498908,22148,12672,S,"9,0","0,3",1:51.51,ekf_localizatio
5766,aleja,20,0,1280912,44432,16516,S,"8,0","0,6",1:50.19,rosmaster
7967,aleja,20,0,422780,19248,10136,S,"5,0","0,3",1:11.34,twist_mux
5777,aleja,20,0,348884,19324,10216,S,"1,0","0,3",0:02.18,rosout
5757,aleja,20,0,357720,44900,16824,S,"1,0","0,6",0:03.34,roscore
8182,aleja,20,0,357588,44880,16692,S,"0,0","0,6",0:02.27,roslaunch
8280,aleja,20,0,511136,46132,17448,S,"0,0","0,6",0:04.19,rostopic
581,root,20,0,2548,708,636,S,"0,0","0,0",0:00.32,acpid
7927,aleja,20,0,357992,45016,16424,S,"0,0","0,6",0:02.55,roslaunch
8209,aleja,20,0,871268,42520,16760,S,"11,9","0,6",2:19.83,nodo_pid.py
7963,aleja,20,0,369172,24976,14984,S,"8,9","0,3",1:30.60,robot_state_pub
5766,aleja,20,0,1280912,44432,16516,S,"7,9","0,6",1:50.27,rosmaster
7956,aleja,20,0,498908,22148,12672,S,"7,9","0,3",1:51.59,ekf_localizatio
7967,aleja,20,0,422780,19248,10136,S,"4,0","0,3",1:11.38,twist_mux
5777,aleja,20,0,348884,19324,10216,S,"0,0","0,3",0:02.18,rosout
8182,aleja,20,0,357588,44880,16692,S,"0,0","0,6",0:02.27,roslaunch
8280,aleja,20,0,511136,46132,17448,S,"0,0","0,6",0:04.19,rostopic
5757,aleja,20,0,357720,44900,16824,S,"0,0","0,6",0:03.34,roscore
581,root,20,0,2548,708,636,S,"0,0","0,0",0:00.32,acpid
7927,aleja,20,0,357992,45016,16424,S,"0,0","0,6",0:02.55,roslaunch
8209,aleja,20,0,871268,42520,16760,S,"16,0","0,6",2:19.99,nodo_pid.py
7956,aleja,20,0,498908,22148,12672,S,"10,0","0,3",1:51.69,ekf_localizatio
5766,aleja,20,0,1280912,44432,16516,S,"8,0","0,6",1:50.35,rosmaster
7963,aleja,20,0,369172,24976,14984,S,"7,0","0,3",1:30.67,robot_state_pub
7967,aleja,20,0,422780,19248,10136,S,"7,0","0,3",1:11.45,twist_mux
5777,aleja,20,0,348884,19324,10216,S,"0,0","0,3",0:02.18,rosout
8182,aleja,20,0,357588,44880,16692,S,"0,0","0,6",0:02.27,roslaunch
8280,aleja,20,0,511136,46132,17448,S,"0,0","0,6",0:04.19,rostopic
5757,aleja,20,0,357720,44900,16824,S,"0,0","0,6",0:03.34,roscore
581,root,20,0,2548,708,636,S,"0,0","0,0",0:00.32,acpid
7927,aleja,20,0,357992,45016,16424,S,"0,0","0,6",0:02.55,roslaunch
8209,aleja,20,0,871268,42520,16760,S,"13,0","0,6",2:20.12,nodo_pid.py
7956,aleja,20,0,498908,22148,12672,S,"10,0","0,3",1:51.79,ekf_localizatio
